"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4522228,0,1
4522167,0,1
4522136,0,1
4513874,0,1
4514323,0,4
4513663,0,2
4514139,0,1
4513833,0,1
4514376,0,2
4513664,0,1
4513803,0,4
4514367,0,2
4513860,0,2
4514326,0,1
4514046,0,1
4513690,0,1
4514110,0,1
4513570,0,3
4514132,0,2
4514327,0,1
4514196,0,1
4513841,0,1
4514370,0,1
4513575,0,1
4513801,0,1
4514248,0,1
4503888,0,1
4504585,0,1
4514352,0,1
4504008,0,1
4514633,0,1
4513815,0,2
4514644,0,1
4513693,0,1
4514440,0,1
4514164,0,1
4513948,0,1
4514447,0,1
4514643,0,1
4514183,0,1
4514645,0,2
4514063,0,1
4514642,0,2
4504567,0,2
4514630,0,1
4513951,0,1
4514594,0,3
4514072,0,1
4514103,0,1
4513882,0,1
4514648,0,3
4514636,0,2
4514309,0,1
4514442,0,3
4514563,0,2
4514470,0,1
4514530,0,1
4513964,0,1
4521608,0,1
4521836,0,2
4521634,0,1
4521440,0,1
4503876,0,1
4504574,0,1
4504586,0,1
4504561,0,1
4504575,0,2
4514369,0,1
4514528,0,2
4514826,0,1
4514863,0,1
4514288,0,1
4514777,0,1
4514378,0,3
4514341,0,1
4514423,0,1
4514066,0,1
4514371,0,1
4514432,0,1
4514354,0,4
4514772,0,1
4514819,0,2
4514372,0,2
4514353,0,1
4514697,0,1
4514429,0,2
4504442,0,3
4504660,0,1
4503998,0,5
4504489,0,1
4514364,0,1
4514293,0,1
4514279,0,1
4514366,0,1
4522014,0,1
4522339,0,1
4545929,0,1
4545764,0,1
4542810,0,1
4542809,0,1
4542568,0,1
4542360,0,1
4542498,0,1
4542765,0,1
4542988,0,1
4543047,0,2
4542934,0,1
4542536,0,2
4541923,0,1
4542062,0,1
4543000,0,1
4542579,0,2
4503989,0,1
4504445,0,2
4542567,0,1
4542615,0,1
4543012,0,1
4542239,0,1
4542740,0,2
4521664,0,1
4522141,0,1
4514582,0,1
4515034,0,1
4515015,0,1
4514624,0,1
4514791,0,1
4514792,0,3
4514709,0,1
4514700,0,1
4514659,0,1
4514714,0,1
4514868,0,1
4514813,0,1
4515027,0,1
4514870,0,1
4514890,0,3
4514658,0,3
4514702,0,1
4515134,0,2
4542308,0,2
4542526,0,2
4542278,0,2
4541984,0,3
4542043,0,1
4542580,0,1
4542683,0,1
4542935,0,2
4542623,0,1
4542061,0,1
4542739,0,2
4542576,0,1
4542225,0,1
4542490,0,1
4542385,0,2
4542694,0,1
4543036,0,2
4543066,0,1
4542531,0,3
4541892,0,1
4542410,0,1
4542532,0,1
4541966,0,1
4542921,0,1
4542189,0,1
4542224,0,1
4542307,0,2
4542538,0,2
4542840,0,1
4542792,0,1
4504396,0,3
4504557,0,1
4504805,1,1
4542055,0,1
4542807,0,1
4543031,0,3
4542581,0,1
4542613,0,1
4542070,0,2
4542096,0,1
4541982,0,1
4542533,0,1
4542237,0,2
4542832,0,1
4542789,0,1
4542505,0,1
4542049,0,1
4542482,0,1
4542899,0,1
4543016,0,1
4542992,0,2
4542188,0,1
4542820,0,1
4542597,0,1
4543157,0,1
4542566,0,1
4541922,0,2
4543117,0,1
4541819,0,1
4542488,0,1
4542067,0,2
4542441,0,1
4542672,0,1
4543010,0,1
4542311,1,0
4542573,0,1
4546070,0,2
4515638,0,1
4514958,0,1
4514739,0,1
4515616,0,1
4515100,0,1
4515784,0,1
4515493,0,1
4515241,0,1
4515553,0,1
4515793,0,1
4514953,0,1
4515575,0,1
4515093,0,1
4515653,0,1
4515367,0,1
4515192,0,1
4515580,0,1
4515431,0,1
4514984,0,1
4515175,0,1
4515850,0,1
4514921,0,1
4514889,0,1
4515634,0,1
4514931,0,1
4515571,0,1
4515513,0,2
4515402,0,1
4515845,0,1
4515618,0,1
4515002,0,1
4515659,0,2
4515476,0,1
4515578,0,1
4515629,0,1
4515104,0,1
4515482,0,1
4515012,0,2
4515848,0,1
4515369,0,5
4514847,0,1
4514867,0,2
4514956,0,1
4514742,0,1
4515619,0,1
4515640,0,1
4515627,0,1
4515470,0,1
4514891,0,2
4515933,0,2
4515722,0,1
4515320,0,1
4515183,0,1
4515109,0,3
4515475,0,1
4515016,0,1
4515360,0,3
4515573,0,1
4515760,0,1
4515554,0,1
4515914,0,1
4514957,0,1
4515107,0,1
4515017,0,1
4515863,0,1
4515010,0,1
4515818,0,1
4515645,0,1
4514925,0,1
4514893,0,1
4515211,0,1
4515736,0,1
4521529,0,1
4515950,0,1
4515874,0,1
4515581,0,1
4521855,0,2
4538934,0,2
4546144,0,3
4545715,0,1
4515392,0,1
4515905,0,1
4516097,0,3
4516082,0,1
4515742,0,1
4522068,0,1
4516185,0,1
4516169,0,1
4515494,0,2
4515934,0,1
4515617,0,1
4515693,0,1
4516175,0,1
4515579,0,1
4515909,0,1
4515923,0,1
4515531,0,1
4516114,0,1
4515542,0,1
4515748,0,3
4522338,0,1
4522055,0,2
4543288,0,2
4543140,0,1
4543211,0,1
4515750,0,1
4515830,0,1
4515856,0,1
4543353,0,1
4542874,0,1
4542931,0,3
4491448,0,1
4491557,0,2
4491197,0,1
4491585,0,1
4491198,0,1
4491493,0,1
4491380,0,1
4491237,0,1
4491309,0,1
4491811,0,2
4543313,0,1
4542756,0,1
4504341,0,1
4543225,0,4
4542936,0,1
4543032,0,1
4543148,0,1
4543262,0,1
4504589,0,1
4491905,0,1
4491810,0,1
4491578,0,1
4491619,0,1
4491583,0,1
4491467,0,1
4491593,0,1
4504582,0,1
4504287,0,1
4542755,0,1
4542924,0,1
4542699,0,3
4543420,0,1
4543407,0,1
4542980,0,3
4542927,0,1
4515826,0,2
4516356,0,1
4515870,0,1
4516099,0,1
4516369,0,1
4492121,0,1
4516094,0,1
4516093,0,2
4516373,0,1
4504292,0,2
4504756,1,0
4504342,0,1
4504779,0,1
4504880,0,1
4491782,0,1
4492317,0,1
4492194,0,1
4492116,0,2
4491738,0,1
4492117,0,1
4492146,0,2
4491806,0,1
4491787,0,1
4491720,0,1
4492323,0,1
4491744,0,1
4492119,0,2
4492205,0,3
4491886,0,1
4492316,0,1
4492283,0,4
4516358,0,1
4516095,0,1
4516342,0,4
4516176,0,1
4515853,0,2
4516090,0,1
4515917,0,1
4516368,0,1
4504518,0,1
4492548,0,1
4491950,0,2
4492555,0,1
4492238,0,3
4492035,0,2
4491961,0,1
4492006,0,2
4492477,0,2
4492439,0,1
4491817,1,1
4492452,0,1
4492125,0,1
4492002,1,0
4492320,0,4
4492028,0,1
4491899,0,1
4492556,0,1
4492067,0,1
4504681,0,1
4504113,0,1
4562256,0,1
4516229,0,1
4516922,0,1
4516817,0,1
4516598,0,1
4504882,0,1
4504577,0,1
4504252,0,1
4516245,0,1
4516659,0,1
4516427,0,1
4516340,0,1
4516166,0,1
4516819,0,1
4516224,0,1
4516308,0,4
4516164,0,1
4516778,0,1
4516861,0,1
4516386,0,1
4516304,0,2
4516111,0,2
4516354,0,1
4516344,0,1
4516923,0,1
4543643,0,3
4543514,0,4
4543764,0,1
4543776,0,2
4543632,0,1
4492886,0,2
4492717,0,3
4492722,0,2
4492094,0,1
4492754,0,1
4492302,0,1
4492749,0,1
4492578,0,1
4492239,0,1
4492446,0,1
4492450,0,1
4492315,0,1
4493155,0,1
4492286,0,1
4492976,0,1
4492750,0,1
4492729,0,1
4492786,0,1
4492981,0,1
4492430,0,1
4492455,0,1
4492291,0,3
4493067,0,1
4492529,0,1
4493011,0,1
4492583,0,1
4492310,0,1
4492882,0,1
4492737,0,2
4492542,0,4
4493142,0,1
4492588,0,1
4492325,0,1
4492877,0,1
4492508,0,1
4493321,0,1
4492674,0,1
4492923,0,1
4493121,0,2
4492642,0,1
4493095,0,1
4492716,0,1
4492449,0,1
4492496,0,2
4492482,0,1
4492309,0,1
4493013,0,1
4492443,0,1
4492541,0,1
4493188,0,1
4543678,0,1
4543067,0,1
4543770,0,1
4543760,0,1
4543389,0,1
4543633,0,1
4543176,0,4
4543797,0,2
4543793,0,1
4542812,0,1
4543762,0,1
4543814,0,1
4542911,0,1
4542991,0,1
4517072,0,1
4516319,0,2
4516500,0,1
4516503,0,1
4517079,0,1
4516650,0,1
4516931,0,1
4516718,0,1
4516974,0,1
4517009,0,1
4516527,0,1
4516743,0,1
4516917,0,1
4516512,0,1
4504339,0,1
4504775,0,1
4504085,0,1
4493540,0,1
4516849,0,1
4493030,0,1
4493539,0,1
4493283,0,1
4493144,0,1
4493549,0,1
4493044,0,1
4493509,0,2
4493241,0,1
4493208,0,1
4493496,0,1
4492938,0,1
4493442,0,3
4493530,0,1
4493513,0,1
4516972,0,2
4516653,0,1
4516379,0,1
4517092,0,1
4516654,0,1
4516501,0,1
4516966,0,1
4516607,0,1
4517011,0,1
4516716,0,2
4543798,0,1
4543794,0,1
4543531,0,1
4493725,0,1
4542907,0,1
4543282,0,1
4493913,0,1
4504380,0,1
4504762,0,1
4504884,0,1
4493326,0,1
4493521,0,1
4493176,0,1
4493243,0,1
4493377,0,1
4493426,0,1
4493165,0,1
4493327,0,1
4493320,0,2
4493623,0,1
4493512,0,1
4493282,0,1
4493543,0,1
4493674,0,1
4493526,0,1
4493663,0,1
4493511,0,1
4493370,0,1
4493772,0,1
4493323,0,1
4493221,0,1
4492961,0,2
4493235,0,3
4493555,0,1
4493608,0,1
4493641,0,1
4493924,0,1
4493791,0,1
4493616,0,1
4493671,0,1
4493672,0,1
4493648,0,1
4493275,0,1
4493477,0,4
4493879,0,1
4493718,0,1
4493889,0,1
4493774,0,1
4493707,0,1
4493922,0,1
4493670,0,1
4504263,0,1
4504593,0,2
4544009,0,1
4543979,0,1
4543983,0,1
4543977,0,1
4544039,0,1
4543630,0,1
4543778,0,1
4543941,0,1
4543811,0,2
4543801,0,2
4543132,0,1
4543350,0,1
4543311,0,1
4543928,0,1
4544038,0,1
4543255,0,1
4543392,0,1
4504685,0,1
4544026,0,1
4543782,0,5
4494028,0,1
4494202,0,1
4493800,0,4
4493770,0,2
4493977,0,1
4493895,0,3
4493867,0,1
4493715,0,2
4493799,0,1
4493875,0,1
4493954,0,1
4493851,0,2
4494280,0,1
4493940,0,1
4493878,0,1
4493843,0,1
4493888,0,1
4494262,0,1
4504340,0,1
4504845,0,1
4543635,0,1
4544037,0,1
4543417,0,2
4543980,0,4
4544003,0,2
4543831,0,1
4543906,0,1
4544077,0,1
4543994,0,1
4543780,0,1
4516221,0,1
4517154,0,1
4517320,0,1
4517436,0,1
4517826,0,2
4517397,0,1
4517053,0,1
4517329,0,1
4517553,0,1
4517284,0,3
4517509,0,1
4517130,0,1
4517587,0,1
4517676,0,1
4517158,0,1
4517219,0,1
4516924,0,1
4517515,0,1
4517024,0,1
4517304,0,1
4517348,0,1
4517573,0,1
4517470,0,1
4517229,0,2
4517016,0,1
4517434,0,3
4517396,0,1
4517533,0,1
4517586,0,1
4517677,0,1
4517770,0,1
4568425,0,2
4517697,0,1
4516772,0,1
4517174,0,1
4516837,0,1
4517357,0,3
4517574,0,5
4516748,0,1
4517513,0,1
4516814,0,1
4517788,0,1
4517051,0,1
4517230,0,1
4517590,0,2
4517115,0,2
4517632,0,1
4516909,0,1
4517311,0,1
4516867,0,2
4517518,0,1
4493233,0,1
4504581,0,1
4494226,0,1
4494960,0,1
4494142,0,1
4493984,0,2
4494207,0,1
4494332,0,2
4494017,0,2
4494374,0,1
4494278,0,1
4494804,0,2
4494136,0,3
4494655,0,1
4494379,0,1
4493960,0,1
4494753,0,1
4494828,0,3
4494180,0,2
4494798,0,2
4494222,0,1
4494117,0,1
4494211,0,1
4494396,0,1
4493916,0,1
4494424,0,1
4495119,0,1
4494572,0,1
4494108,0,1
4494802,0,1
4494768,0,2
4494927,0,1
4494605,0,1
4494096,0,2
4494801,0,1
4494875,0,2
4494679,0,1
4494086,0,1
4494147,0,2
4494466,0,1
4494372,0,1
4494425,0,2
4494779,0,1
4494261,0,1
4494530,0,3
4494640,0,2
4494800,0,1
4494097,0,1
4494911,0,2
4494398,0,2
4494347,0,1
4494133,0,1
4494352,0,1
4494178,0,1
4494394,0,1
4494007,0,1
4494602,0,1
4517532,0,1
4516840,0,1
4517395,0,1
4517512,0,1
4517591,0,1
4517367,0,3
4517535,0,1
4517568,0,1
4517762,0,1
4516918,0,1
4517151,0,1
4517631,0,1
4517227,0,2
4517345,0,1
4517545,0,1
4517399,0,1
4504723,0,1
4504361,0,2
4495395,0,1
4495414,0,2
4517747,0,1
4517613,0,1
4495181,0,1
4494896,0,1
4494786,0,1
4494730,0,1
4494756,0,1
4495381,0,1
4494812,0,1
4494759,0,1
4494791,0,2
4516871,0,2
4494762,0,1
4494941,0,1
4494990,0,1
4495597,0,1
4494887,0,1
4495621,0,1
4495161,0,1
4495401,0,2
4494964,0,1
4495488,0,2
4495158,0,1
4495018,0,2
4495208,0,1
4495104,0,1
4495501,0,2
4544237,0,1
4544302,0,4
4517371,0,1
4517953,0,1
4517402,0,1
4517760,0,1
4517742,0,1
4517795,0,1
4517979,0,3
4518007,0,1
4517851,0,2
4517928,0,1
4517994,0,1
4518252,0,1
4517986,0,1
4504537,0,1
4504548,0,1
4495433,0,1
4495698,0,1
4495484,0,1
4495738,0,1
4495619,0,1
4495746,0,1
4495741,0,1
4495767,0,1
4495182,0,3
4495353,0,1
4518001,0,1
4495334,0,1
4495757,0,1
4495779,0,1
4495385,0,1
4495535,0,1
4495266,0,1
4495574,1,0
4517750,0,1
4517868,0,1
4518247,0,1
4517988,0,2
4517996,0,1
4517848,0,2
4517655,0,2
4518000,0,4
4517514,0,1
4518048,0,1
4543581,0,2
4543873,0,1
4544315,0,1
4543745,0,1
4543566,0,1
4544399,0,1
4504630,0,4
4544316,0,2
4496057,0,1
4495578,0,1
4495744,0,2
4495716,0,2
4495626,0,1
4496061,0,1
4495715,0,1
4495799,0,2
4544021,0,1
4544403,0,1
4544421,0,1
4543530,0,1
4543599,0,1
4544286,0,1
4543552,0,1
4544075,0,1
4543657,0,3
4544194,0,1
4543767,0,1
4544407,0,1
4543617,0,2
4543930,0,1
4544333,0,1
4543784,0,1
4543809,0,1
4517520,0,2
4518011,0,1
4518509,0,4
4518121,0,1
4518531,0,2
4518186,0,1
4517523,0,3
4518156,0,2
4544298,0,1
4518510,0,2
4518016,0,2
4517785,0,1
4518327,0,1
4517992,0,1
4544401,0,2
4518014,0,2
4517560,0,1
4518476,0,3
4517780,0,1
4518013,0,1
4518179,0,2
4517989,0,1
4544423,0,1
4543783,0,2
4543961,0,2
4543876,0,1
4544397,0,1
4543927,0,1
4496087,0,1
4496120,0,1
4496389,0,1
4495900,0,3
4496565,0,2
4495782,0,1
4496116,0,1
4496526,0,1
4496321,0,1
4495886,0,1
4495865,0,1
4495899,0,1
4496193,0,1
4495973,0,2
4496192,0,2
4496425,0,1
4496544,0,1
4495821,0,1
4496737,0,3
4496160,0,1
4495985,0,1
4496750,0,1
4496804,0,1
4496376,0,1
4496113,0,1
4496602,0,1
4496047,0,1
4496628,0,3
4496258,0,1
4496666,0,3
4496290,0,1
4496543,0,1
4496048,0,1
4496306,0,1
4496643,0,2
4496121,0,1
4495842,0,1
4496461,0,1
4495882,0,1
4496137,0,1
4496444,0,1
4496599,0,1
4496049,0,1
4496141,0,2
4496567,0,1
4518704,0,1
4518234,0,1
4518139,0,1
4518165,0,1
4518790,0,1
4518755,0,1
4518235,0,1
4518350,0,2
4518787,0,1
4518612,0,1
4518101,0,1
4518183,0,2
4518054,0,1
4518269,0,1
4518300,0,1
4518229,0,1
4518670,0,2
4496454,0,1
4496861,0,2
4496918,0,1
4496757,0,1
4496921,0,1
4496977,0,1
4496927,0,2
4496446,0,1
4496655,0,1
4496978,0,1
4496636,0,1
4497107,0,1
4496596,0,1
4496479,0,4
4496726,0,2
4497032,0,2
4496453,0,1
4496919,0,1
4496387,0,1
4496991,0,1
4518358,0,1
4518642,0,2
4518236,0,1
4505026,1,0
4497057,0,1
4496721,0,1
4496751,0,2
4496777,0,1
4497124,0,2
4497098,0,1
4496749,0,1
4497079,0,1
4497269,0,2
4497162,0,2
4496656,0,1
4497078,0,1
4496748,0,1
4496697,0,1
4497111,0,1
4496735,0,1
4522510,0,1
4522509,0,1
4522500,0,1
4518206,0,1
4518805,0,1
4518520,0,1
4519058,0,1
4519078,0,2
4518508,0,1
4518572,0,1
4518620,0,2
4518736,0,1
4518715,0,1
4518747,0,1
4518809,0,2
4518731,0,1
4518816,0,1
4518467,0,1
4492441,0,2
4497053,0,1
4518729,0,2
4497430,0,1
4497086,0,1
4497569,0,1
4497062,0,1
4497452,0,1
4497489,0,1
4497549,0,1
4497207,0,3
4497206,0,2
4496996,0,1
4497021,0,1
4497456,0,1
4497267,0,1
4497427,0,1
4497437,0,1
4497460,0,1
4497313,0,1
4497209,0,2
4497486,0,3
4496992,0,3
4497533,0,1
4497074,0,1
4497468,0,2
4497068,0,1
4497446,0,1
4496922,0,1
4497451,0,1
4497487,0,1
4519079,0,1
4518720,0,1
4518938,0,1
4518818,0,1
4518522,0,1
4518478,0,1
4518505,0,1
4505058,0,1
4504680,0,1
4505120,0,1
4504885,0,1
4497344,0,1
4497887,0,2
4497385,0,1
4497476,0,1
4497386,0,2
4497477,0,2
4497328,0,1
4497478,0,1
4497502,0,1
4497898,1,0
4497205,0,1
